Time,Average_Speed_kmph
2024-01-01 10:05:00,50.14
2024-01-01 10:10:00,46.02
2024-01-01 10:15:00,60.21
2024-01-01 10:20:00,45.0
2024-01-01 10:25:00,64.01
2024-01-01 10:30:00,56.66
2024-01-01 10:35:00,51.72
2024-01-01 10:40:00,53.69
2024-01-01 10:45:00,54.59
2024-01-01 10:50:00,61.2
2024-01-01 10:55:00,59.39
2024-01-01 11:00:00,52.76
2024-01-01 11:05:00,58.97
2024-01-01 11:10:00,60.62
2024-01-01 11:15:00,55.83
2024-01-01 11:20:00,53.69
2024-01-01 11:25:00,60.18
2024-01-01 11:30:00,59.16
2024-01-01 11:35:00,51.17
2024-01-01 11:40:00,58.47
2024-01-01 11:45:00,60.0
2024-01-01 11:50:00,54.54
2024-01-01 11:55:00,57.33
2024-01-01 12:00:00,55.78
2024-01-01 12:05:00,58.89
2024-01-01 12:10:00,56.67
2024-01-01 12:15:00,66.47
2024-01-01 12:20:00,61.3
2024-01-01 12:25:00,52.86
2024-01-01 12:30:00,53.87
2024-01-01 12:35:00,58.15
2024-01-01 12:40:00,57.23
2024-01-01 12:45:00,55.8
2024-01-01 12:50:00,61.19
2024-01-01 12:55:00,58.47
2024-01-01 13:00:00,60.65
2024-01-01 13:05:00,67.2
2024-01-01 13:10:00,56.29
2024-01-01 13:15:00,52.3
2024-01-01 13:20:00,60.93
2024-01-01 13:25:00,56.92
2024-01-01 13:30:00,60.15
2024-01-01 13:35:00,50.51
2024-01-01 13:40:00,56.41
2024-01-01 13:45:00,53.52
2024-01-01 13:50:00,50.39
2024-01-01 13:55:00,62.14
2024-01-01 14:00:00,56.13
2024-01-01 14:05:00,63.24
2024-01-01 14:10:00,56.85
2024-01-01 14:15:00,64.45
2024-01-01 14:20:00,54.89
2024-01-01 14:25:00,64.81
2024-01-01 14:30:00,63.03
2024-01-01 14:35:00,62.39
2024-01-01 14:40:00,59.44
2024-01-01 14:45:00,57.52
2024-01-01 14:50:00,59.03
2024-01-01 14:55:00,62.11
2024-01-01 15:00:00,54.0
2024-01-01 15:05:00,62.93
2024-01-01 15:10:00,50.35
2024-01-01 15:15:00,62.16
2024-01-01 15:20:00,65.71
2024-01-01 15:25:00,58.41
2024-01-01 15:30:00,47.45
2024-01-01 15:35:00,59.81
2024-01-01 15:40:00,55.89
2024-01-01 15:45:00,52.57
2024-01-01 15:50:00,51.09
2024-01-01 15:55:00,58.37
2024-01-01 16:00:00,55.72
2024-01-01 16:05:00,51.46
2024-01-01 16:10:00,60.99
2024-01-01 16:15:00,60.77
2024-01-01 16:20:00,63.82
2024-01-01 16:25:00,63.89
2024-01-01 16:30:00,52.43
2024-01-01 16:35:00,57.06
2024-01-01 16:40:00,55.49
2024-01-01 16:45:00,57.59
2024-01-01 16:50:00,61.08
2024-01-01 16:55:00,54.3
2024-01-01 17:00:00,63.81
2024-01-01 17:05:00,55.94
2024-01-01 17:10:00,57.52
2024-01-01 17:15:00,63.33
2024-01-01 17:20:00,54.45
2024-01-01 17:25:00,51.56
2024-01-01 17:30:00,50.41
2024-01-01 17:35:00,64.65
2024-01-01 17:40:00,64.35
2024-01-01 17:45:00,56.33
2024-01-01 17:50:00,59.3
2024-01-01 17:55:00,50.76
2024-01-01 18:00:00,56.08
2024-01-01 18:05:00,55.58
2024-01-01 18:10:00,58.73
2024-01-01 18:15:00,59.28
2024-01-01 18:20:00,54.4
2024-01-01 18:25:00,45.0
2024-01-01 18:30:00,64.05
2024-01-01 18:35:00,62.64
2024-01-01 18:40:00,61.92
2024-01-01 18:45:00,59.74
2024-01-01 18:50:00,50.55
2024-01-01 18:55:00,45.26
2024-01-01 19:00:00,54.27
2024-01-01 19:05:00,60.52
2024-01-01 19:10:00,53.23
2024-01-01 19:15:00,54.34
2024-01-01 19:20:00,50.56
2024-01-01 19:25:00,57.63
2024-01-01 19:30:00,57.33
2024-01-01 19:35:00,61.45
2024-01-01 19:40:00,62.99
2024-01-01 19:45:00,66.9
2024-01-01 19:50:00,60.63
2024-01-01 19:55:00,56.22
2024-01-01 20:00:00,55.32
2024-01-01 20:05:00,56.74
2024-01-01 20:10:00,61.63
2024-01-01 20:15:00,57.06
2024-01-01 20:20:00,63.92
2024-01-01 20:25:00,54.86
2024-01-01 20:30:00,58.78
2024-01-01 20:35:00,62.78
2024-01-01 20:40:00,61.15
2024-01-01 20:45:00,57.83
2024-01-01 20:50:00,63.71
2024-01-01 20:55:00,59.75
2024-01-01 21:00:00,53.18
2024-01-01 21:05:00,54.91
2024-01-01 21:10:00,52.47
2024-01-01 21:15:00,55.59
2024-01-01 21:20:00,55.2
2024-01-01 21:25:00,56.11
2024-01-01 21:30:00,52.75
2024-01-01 21:35:00,66.96
2024-01-01 21:40:00,54.31
2024-01-01 21:45:00,64.67
2024-01-01 21:50:00,52.19
2024-01-01 21:55:00,53.21
2024-01-01 22:00:00,59.79
2024-01-01 22:05:00,50.2
2024-01-01 22:10:00,60.7
2024-01-01 22:15:00,56.1
2024-01-01 22:20:00,54.64
2024-01-01 22:25:00,55.88
2024-01-01 22:30:00,55.73
2024-01-01 22:35:00,55.64
2024-01-01 22:40:00,57.47
2024-01-01 22:45:00,63.79
2024-01-01 22:50:00,59.01
2024-01-01 22:55:00,58.75
2024-01-01 23:00:00,54.75
2024-01-01 23:05:00,57.77
2024-01-01 23:10:00,59.46
2024-01-01 23:15:00,55.75
2024-01-01 23:20:00,62.67
2024-01-01 23:25:00,47.99
2024-01-01 23:30:00,56.11
2024-01-01 23:35:00,63.3
2024-01-01 23:40:00,61.06
2024-01-01 23:45:00,51.18
2024-01-01 23:50:00,63.13
2024-01-01 23:55:00,64.42
2024-01-02 00:00:00,67.87
2024-01-02 00:05:00,64.21
2024-01-02 00:10:00,62.17
2024-01-02 00:15:00,61.57
2024-01-02 00:20:00,60.33
2024-01-02 00:25:00,46.72
2024-01-02 00:30:00,60.68
2024-01-02 00:35:00,57.76
2024-01-02 00:40:00,63.08
2024-01-02 00:45:00,53.76
2024-01-02 00:50:00,55.54
2024-01-02 00:55:00,64.69
2024-01-02 01:00:00,67.41
2024-01-02 01:05:00,61.35
2024-01-02 01:10:00,63.17
2024-01-02 01:15:00,57.2
2024-01-02 01:20:00,59.98
2024-01-02 01:25:00,60.73
2024-01-02 01:30:00,59.44
2024-01-02 01:35:00,52.9
2024-01-02 01:40:00,55.37
2024-01-02 01:45:00,55.7
2024-01-02 01:50:00,60.85
2024-01-02 01:55:00,50.25
2024-01-02 02:00:00,57.79
2024-01-02 02:05:00,64.47
2024-01-02 02:10:00,63.69
2024-01-02 02:15:00,59.62
2024-01-02 02:20:00,66.94
2024-01-02 02:25:00,61.5
2024-01-02 02:30:00,67.55
2024-01-02 02:35:00,62.17
2024-01-02 02:40:00,55.02
2024-01-02 02:45:00,51.14
2024-01-02 02:50:00,59.56
2024-01-02 02:55:00,62.29
2024-01-02 03:00:00,53.71
2024-01-02 03:05:00,52.13
2024-01-02 03:10:00,55.98
2024-01-02 03:15:00,55.56
2024-01-02 03:20:00,60.61
2024-01-02 03:25:00,62.25
2024-01-02 03:30:00,62.94
2024-01-02 03:35:00,57.96
2024-01-02 03:40:00,57.14
2024-01-02 03:45:00,62.72
2024-01-02 03:50:00,57.77
2024-01-02 03:55:00,58.45
2024-01-02 04:00:00,57.98
2024-01-02 04:05:00,58.68
2024-01-02 04:10:00,56.51
2024-01-02 04:15:00,55.59
2024-01-02 04:20:00,52.82
2024-01-02 04:25:00,57.21
2024-01-02 04:30:00,55.47
2024-01-02 04:35:00,55.15
2024-01-02 04:40:00,64.9
2024-01-02 04:45:00,55.04
2024-01-02 04:50:00,53.85
2024-01-02 04:55:00,55.31
2024-01-02 05:00:00,58.48
2024-01-02 05:05:00,58.86
2024-01-02 05:10:00,63.66
2024-01-02 05:15:00,61.82
2024-01-02 05:20:00,62.63
2024-01-02 05:25:00,62.89
2024-01-02 05:30:00,52.62
2024-01-02 05:35:00,62.22
2024-01-02 05:40:00,63.81
2024-01-02 05:45:00,53.53
2024-01-02 05:50:00,56.88
2024-01-02 05:55:00,55.78
2024-01-02 06:00:00,55.05
2024-01-02 06:05:00,56.97
2024-01-02 06:10:00,55.73
2024-01-02 06:15:00,60.17
2024-01-02 06:20:00,59.78
2024-01-02 06:25:00,56.03
2024-01-02 06:30:00,59.24
2024-01-02 06:35:00,55.73
2024-01-02 06:40:00,61.28
2024-01-02 06:45:00,63.13
2024-01-02 06:50:00,69.81
2024-01-02 06:55:00,54.67
2024-01-02 07:00:00,64.13
2024-01-02 07:05:00,63.72
2024-01-02 07:10:00,55.3
2024-01-02 07:15:00,62.06
2024-01-02 07:20:00,64.67
2024-01-02 07:25:00,53.09
2024-01-02 07:30:00,68.75
2024-01-02 07:35:00,59.02
2024-01-02 07:40:00,64.61
2024-01-02 07:45:00,58.69
2024-01-02 07:50:00,69.62
2024-01-02 07:55:00,62.49
2024-01-02 08:00:00,57.29
2024-01-02 08:05:00,62.16
2024-01-02 08:10:00,53.5
2024-01-02 08:15:00,49.11
2024-01-02 08:20:00,53.64
2024-01-02 08:25:00,61.85
2024-01-02 08:30:00,60.11
2024-01-02 08:35:00,64.65
2024-01-02 08:40:00,60.9
2024-01-02 08:45:00,51.78
2024-01-02 08:50:00,55.26
2024-01-02 08:55:00,50.73
2024-01-02 09:00:00,56.96
2024-01-02 09:05:00,53.45
2024-01-02 09:10:00,60.09
2024-01-02 09:15:00,58.36
2024-01-02 09:20:00,53.81
2024-01-02 09:25:00,62.85
2024-01-02 09:30:00,64.1
2024-01-02 09:35:00,64.41
2024-01-02 09:40:00,59.43
2024-01-02 09:45:00,47.6
2024-01-02 09:50:00,49.45
2024-01-02 09:55:00,49.98
2024-01-02 10:00:00,50.28
2024-01-02 10:05:00,54.38
2024-01-02 10:10:00,52.17
2024-01-02 10:15:00,65.36
2024-01-02 10:20:00,53.24
2024-01-02 10:25:00,60.75
2024-01-02 10:30:00,64.78
2024-01-02 10:35:00,60.62
2024-01-02 10:40:00,58.96
2024-01-02 10:45:00,59.21
2024-01-02 10:50:00,59.06
2024-01-02 10:55:00,51.78
2024-01-02 11:00:00,55.4
2024-01-02 11:05:00,64.06
2024-01-02 11:10:00,60.32
2024-01-02 11:15:00,57.19
2024-01-02 11:20:00,53.94
2024-01-02 11:25:00,62.06
2024-01-02 11:30:00,57.8
2024-01-02 11:35:00,61.0
2024-01-02 11:40:00,50.3
2024-01-02 11:45:00,55.23
2024-01-02 11:50:00,51.95
2024-01-02 11:55:00,55.45
2024-01-02 12:00:00,59.12
2024-01-02 12:05:00,50.34
2024-01-02 12:10:00,63.05
2024-01-02 12:15:00,59.15
2024-01-02 12:20:00,54.43
2024-01-02 12:25:00,54.67
2024-01-02 12:30:00,56.99
2024-01-02 12:35:00,62.3
2024-01-02 12:40:00,69.88
2024-01-02 12:45:00,59.63
2024-01-02 12:50:00,65.56
2024-01-02 12:55:00,68.36
2024-01-02 13:00:00,65.14
2024-01-02 13:05:00,53.72
2024-01-02 13:10:00,50.07
2024-01-02 13:15:00,53.56
2024-01-02 13:20:00,50.4
2024-01-02 13:25:00,55.37
2024-01-02 13:30:00,51.86
2024-01-02 13:35:00,50.34
2024-01-02 13:40:00,55.86
2024-01-02 13:45:00,62.89
2024-01-02 13:50:00,54.11
2024-01-02 13:55:00,57.55
2024-01-02 14:00:00,65.43
2024-01-02 14:05:00,63.36
2024-01-02 14:10:00,52.69
2024-01-02 14:15:00,55.96
2024-01-02 14:20:00,50.7
2024-01-02 14:25:00,58.98
2024-01-02 14:30:00,65.94
2024-01-02 14:35:00,59.25
2024-01-02 14:40:00,61.17
2024-01-02 14:45:00,51.87
2024-01-02 14:50:00,50.39
2024-01-02 14:55:00,58.81
2024-01-02 15:00:00,50.2
2024-01-02 15:05:00,56.54
2024-01-02 15:10:00,54.33
2024-01-02 15:15:00,59.91
2024-01-02 15:20:00,54.79
2024-01-02 15:25:00,56.76
2024-01-02 15:30:00,60.66
2024-01-02 15:35:00,57.25
2024-01-02 15:40:00,66.91
2024-01-02 15:45:00,65.94
2024-01-02 15:50:00,65.91
2024-01-02 15:55:00,50.06
2024-01-02 16:00:00,64.47
2024-01-02 16:05:00,60.41
2024-01-02 16:10:00,57.75
2024-01-02 16:15:00,58.59
2024-01-02 16:20:00,54.12
2024-01-02 16:25:00,59.99
2024-01-02 16:30:00,57.98
2024-01-02 16:35:00,61.96
2024-01-02 16:40:00,63.33
2024-01-02 16:45:00,59.12
2024-01-02 16:50:00,53.7
2024-01-02 16:55:00,61.43
2024-01-02 17:00:00,51.36
2024-01-02 17:05:00,56.73
2024-01-02 17:10:00,55.57
2024-01-02 17:15:00,62.35
2024-01-02 17:20:00,62.98
2024-01-02 17:25:00,62.83
2024-01-02 17:30:00,52.07
2024-01-02 17:35:00,58.14
2024-01-02 17:40:00,60.25
2024-01-02 17:45:00,57.23
2024-01-02 17:50:00,51.25
2024-01-02 17:55:00,63.94
2024-01-02 18:00:00,56.3
2024-01-02 18:05:00,55.09
2024-01-02 18:10:00,50.72
2024-01-02 18:15:00,60.9
2024-01-02 18:20:00,57.8
2024-01-02 18:25:00,58.15
2024-01-02 18:30:00,52.46
2024-01-02 18:35:00,59.17
2024-01-02 18:40:00,59.68
2024-01-02 18:45:00,51.66
2024-01-02 18:50:00,52.67
2024-01-02 18:55:00,57.91
2024-01-02 19:00:00,53.97
2024-01-02 19:05:00,51.82
2024-01-02 19:10:00,53.96
2024-01-02 19:15:00,57.39
2024-01-02 19:20:00,53.04
2024-01-02 19:25:00,60.54
2024-01-02 19:30:00,52.43
2024-01-02 19:35:00,62.5
2024-01-02 19:40:00,65.3
2024-01-02 19:45:00,49.66
2024-01-02 19:50:00,58.01
2024-01-02 19:55:00,68.74
2024-01-02 20:00:00,53.67
2024-01-02 20:05:00,50.67
2024-01-02 20:10:00,59.33
2024-01-02 20:15:00,56.3
2024-01-02 20:20:00,64.77
2024-01-02 20:25:00,61.7
2024-01-02 20:30:00,49.99
2024-01-02 20:35:00,62.13
2024-01-02 20:40:00,50.18
2024-01-02 20:45:00,58.22
2024-01-02 20:50:00,61.67
2024-01-02 20:55:00,64.4
2024-01-02 21:00:00,52.92
2024-01-02 21:05:00,58.79
2024-01-02 21:10:00,56.71
2024-01-02 21:15:00,59.09
2024-01-02 21:20:00,58.57
2024-01-02 21:25:00,52.0
2024-01-02 21:30:00,62.32
2024-01-02 21:35:00,58.2
2024-01-02 21:40:00,56.85
2024-01-02 21:45:00,62.35
2024-01-02 21:50:00,50.55
2024-01-02 21:55:00,50.61
2024-01-02 22:00:00,59.87
2024-01-02 22:05:00,64.28
2024-01-02 22:10:00,61.66
2024-01-02 22:15:00,57.04
2024-01-02 22:20:00,50.84
2024-01-02 22:25:00,50.68
2024-01-02 22:30:00,52.37
2024-01-02 22:35:00,69.09
2024-01-02 22:40:00,57.58
2024-01-02 22:45:00,64.64
2024-01-02 22:50:00,58.36
2024-01-02 22:55:00,55.98
2024-01-02 23:00:00,62.65
2024-01-02 23:05:00,60.58
2024-01-02 23:10:00,59.08
2024-01-02 23:15:00,57.14
2024-01-02 23:20:00,66.28
2024-01-02 23:25:00,64.22
2024-01-02 23:30:00,53.46
2024-01-02 23:35:00,56.82
2024-01-02 23:40:00,62.97
2024-01-02 23:45:00,64.97
2024-01-02 23:50:00,60.09
2024-01-02 23:55:00,58.28
2024-01-03 00:00:00,64.12
2024-01-03 00:05:00,53.7
2024-01-03 00:10:00,55.92
2024-01-03 00:15:00,53.13
2024-01-03 00:20:00,61.68
2024-01-03 00:25:00,61.29
2024-01-03 00:30:00,50.19
2024-01-03 00:35:00,67.33
2024-01-03 00:40:00,63.71
2024-01-03 00:45:00,54.11
2024-01-03 00:50:00,50.28
2024-01-03 00:55:00,66.28
2024-01-03 01:00:00,57.18
2024-01-03 01:05:00,59.46
2024-01-03 01:10:00,59.07
2024-01-03 01:15:00,60.26
2024-01-03 01:20:00,58.68
2024-01-03 01:25:00,59.53
2024-01-03 01:30:00,57.12
2024-01-03 01:35:00,65.16
2024-01-03 01:40:00,62.79
2024-01-03 01:45:00,58.69
2024-01-03 01:50:00,59.89
2024-01-03 01:55:00,63.31
2024-01-03 02:00:00,61.73
2024-01-03 02:05:00,51.73
2024-01-03 02:10:00,63.37
2024-01-03 02:15:00,52.41
2024-01-03 02:20:00,66.42
2024-01-03 02:25:00,50.75
2024-01-03 02:30:00,52.26
2024-01-03 02:35:00,57.6
2024-01-03 02:40:00,61.9
2024-01-03 02:45:00,50.43
2024-01-03 02:50:00,52.21
2024-01-03 02:55:00,63.7
2024-01-03 03:00:00,60.01
2024-01-03 03:05:00,55.31
2024-01-03 03:10:00,57.41
2024-01-03 03:15:00,67.07
2024-01-03 03:20:00,68.43
2024-01-03 03:25:00,49.9
2024-01-03 03:30:00,61.28
2024-01-03 03:35:00,61.25
2024-01-03 03:40:00,52.88
2024-01-03 03:45:00,57.25
2024-01-03 03:50:00,55.5
2024-01-03 03:55:00,62.92
2024-01-03 04:00:00,55.3
2024-01-03 04:05:00,63.33
2024-01-03 04:10:00,53.41
2024-01-03 04:15:00,64.04
2024-01-03 04:20:00,60.7
2024-01-03 04:25:00,63.91
2024-01-03 04:30:00,63.83
2024-01-03 04:35:00,62.27
2024-01-03 04:40:00,59.65
2024-01-03 04:45:00,60.32
2024-01-03 04:50:00,63.71
2024-01-03 04:55:00,60.71
2024-01-03 05:00:00,64.31
2024-01-03 05:05:00,50.37
2024-01-03 05:10:00,63.82
2024-01-03 05:15:00,58.34
2024-01-03 05:20:00,60.57
2024-01-03 05:25:00,51.68
2024-01-03 05:30:00,53.22
2024-01-03 05:35:00,50.96
2024-01-03 05:40:00,60.72
2024-01-03 05:45:00,62.78
2024-01-03 05:50:00,56.64
2024-01-03 05:55:00,68.35
2024-01-03 06:00:00,57.59
2024-01-03 06:05:00,64.74
2024-01-03 06:10:00,51.76
2024-01-03 06:15:00,72.38
2024-01-03 06:20:00,56.19
2024-01-03 06:25:00,62.64
2024-01-03 06:30:00,58.39
2024-01-03 06:35:00,54.98
2024-01-03 06:40:00,57.74
2024-01-03 06:45:00,59.5
2024-01-03 06:50:00,59.92
2024-01-03 06:55:00,50.02
2024-01-03 07:00:00,60.33
2024-01-03 07:05:00,63.92
2024-01-03 07:10:00,51.33
2024-01-03 07:15:00,50.53
2024-01-03 07:20:00,62.97
2024-01-03 07:25:00,54.7
2024-01-03 07:30:00,66.02
2024-01-03 07:35:00,55.51
2024-01-03 07:40:00,67.67
2024-01-03 07:45:00,67.65
2024-01-03 07:50:00,64.23
2024-01-03 07:55:00,56.76
2024-01-03 08:00:00,62.74
2024-01-03 08:05:00,50.21
2024-01-03 08:10:00,59.75
2024-01-03 08:15:00,48.94
2024-01-03 08:20:00,58.38
2024-01-03 08:25:00,49.59
2024-01-03 08:30:00,59.12
2024-01-03 08:35:00,55.09
2024-01-03 08:40:00,51.78
2024-01-03 08:45:00,60.71
2024-01-03 08:50:00,62.18
2024-01-03 08:55:00,60.28
2024-01-03 09:00:00,55.72
2024-01-03 09:05:00,49.21
2024-01-03 09:10:00,64.46
2024-01-03 09:15:00,45.0
2024-01-03 09:20:00,59.64
2024-01-03 09:25:00,53.92
2024-01-03 09:30:00,57.8
2024-01-03 09:35:00,64.62
2024-01-03 09:40:00,57.92
2024-01-03 09:45:00,55.6
2024-01-03 09:50:00,49.39
2024-01-03 09:55:00,55.75
2024-01-03 10:00:00,64.51
2024-01-03 10:05:00,60.78
2024-01-03 10:10:00,60.31
2024-01-03 10:15:00,53.48
2024-01-03 10:20:00,58.39
2024-01-03 10:25:00,55.35
2024-01-03 10:30:00,53.6
2024-01-03 10:35:00,63.43
2024-01-03 10:40:00,54.74
2024-01-03 10:45:00,55.75
2024-01-03 10:50:00,52.55
2024-01-03 10:55:00,54.24
2024-01-03 11:00:00,63.98
2024-01-03 11:05:00,52.96
2024-01-03 11:10:00,56.62
2024-01-03 11:15:00,61.18
2024-01-03 11:20:00,60.76
2024-01-03 11:25:00,56.57
2024-01-03 11:30:00,59.79
2024-01-03 11:35:00,59.65
2024-01-03 11:40:00,63.81
2024-01-03 11:45:00,62.48
2024-01-03 11:50:00,60.58
2024-01-03 11:55:00,54.72
2024-01-03 12:00:00,57.43
2024-01-03 12:05:00,56.29
2024-01-03 12:10:00,64.17
2024-01-03 12:15:00,57.07
2024-01-03 12:20:00,50.35
2024-01-03 12:25:00,62.54
2024-01-03 12:30:00,61.91
2024-01-03 12:35:00,56.1
2024-01-03 12:40:00,62.55
2024-01-03 12:45:00,53.78
2024-01-03 12:50:00,52.78
2024-01-03 12:55:00,53.48
2024-01-03 13:00:00,50.9
2024-01-03 13:05:00,64.88
2024-01-03 13:10:00,59.98
2024-01-03 13:15:00,63.05
2024-01-03 13:20:00,57.82
2024-01-03 13:25:00,60.73
2024-01-03 13:30:00,61.83
2024-01-03 13:35:00,58.35
2024-01-03 13:40:00,62.17
2024-01-03 13:45:00,62.67
2024-01-03 13:50:00,53.49
2024-01-03 13:55:00,63.68
2024-01-03 14:00:00,62.44
2024-01-03 14:05:00,52.46
2024-01-03 14:10:00,56.9
2024-01-03 14:15:00,58.15
2024-01-03 14:20:00,59.52
2024-01-03 14:25:00,64.68
2024-01-03 14:30:00,60.24
2024-01-03 14:35:00,63.46
2024-01-03 14:40:00,62.69
2024-01-03 14:45:00,58.73
2024-01-03 14:50:00,63.4
2024-01-03 14:55:00,55.66
2024-01-03 15:00:00,55.98
2024-01-03 15:05:00,73.77
2024-01-03 15:10:00,55.69
2024-01-03 15:15:00,57.11
2024-01-03 15:20:00,67.06
2024-01-03 15:25:00,57.65
2024-01-03 15:30:00,61.71
2024-01-03 15:35:00,55.65
2024-01-03 15:40:00,52.02
2024-01-03 15:45:00,61.01
2024-01-03 15:50:00,66.46
2024-01-03 15:55:00,69.51
2024-01-03 16:00:00,54.59
2024-01-03 16:05:00,66.38
2024-01-03 16:10:00,59.13
2024-01-03 16:15:00,56.3
2024-01-03 16:20:00,64.11
2024-01-03 16:25:00,62.52
2024-01-03 16:30:00,60.17
2024-01-03 16:35:00,59.16
2024-01-03 16:40:00,64.38
2024-01-03 16:45:00,57.54
2024-01-03 16:50:00,58.09
2024-01-03 16:55:00,60.87
2024-01-03 17:00:00,56.86
2024-01-03 17:05:00,52.85
2024-01-03 17:10:00,61.2
2024-01-03 17:15:00,58.07
2024-01-03 17:20:00,49.28
2024-01-03 17:25:00,51.61
2024-01-03 17:30:00,61.07
2024-01-03 17:35:00,53.67
2024-01-03 17:40:00,62.49
2024-01-03 17:45:00,59.2
2024-01-03 17:50:00,55.24
2024-01-03 17:55:00,53.54
2024-01-03 18:00:00,60.64
2024-01-03 18:05:00,55.55
2024-01-03 18:10:00,59.78
2024-01-03 18:15:00,53.5
2024-01-03 18:20:00,54.31
2024-01-03 18:25:00,45.0
2024-01-03 18:30:00,52.76
2024-01-03 18:35:00,59.26
2024-01-03 18:40:00,53.98
2024-01-03 18:45:00,62.72
2024-01-03 18:50:00,63.94
2024-01-03 18:55:00,53.85
2024-01-03 19:00:00,63.92
2024-01-03 19:05:00,53.58
2024-01-03 19:10:00,56.24
2024-01-03 19:15:00,51.76
2024-01-03 19:20:00,50.87
2024-01-03 19:25:00,53.63
2024-01-03 19:30:00,55.78
2024-01-03 19:35:00,63.91
2024-01-03 19:40:00,60.14
2024-01-03 19:45:00,54.98
2024-01-03 19:50:00,53.63
2024-01-03 19:55:00,55.48
2024-01-03 20:00:00,58.23
2024-01-03 20:05:00,61.01
2024-01-03 20:10:00,54.53
2024-01-03 20:15:00,60.27
2024-01-03 20:20:00,61.61
